Company Name,Job Title,About Company,Location,Skills Required,Job responsibilities,Job requirements,Tags
Skill-Lync,Inside Sales Specialist,"Skill-Lync is an e-learning platform that provides advanced mechanical & automotive engineering courses, whose primary focus is to bridge the skill gap between engineers and the industries. Alongside this, we have been growing tremendously from a five-member team to an 800 member team with a talented bunch of young folks and experienced professionals across all the groups. 

We are delighted with our accomplishments so far and really excited about our future challenges. Skill-Lync delivers quality education by leveraging technology to equip students with the technical skillset they require to start and succeed in their respective career paths. Quality educational content created by industry experts is distributed online through our platform across the globe at an affordable rate.",Hyderabad,English Proficiency (Spoken)  English Proficiency (Written)  Sales ," Identifying new sales opportunities and handling both inbound and outbound calls to follow up, Making cold calls and emails to explore sales opportunities, Achieving monthly milestones and closing sales, Regularly studying accounts and identifying important players, Collaborating with teammates and working toward closing deals, Maintaining a detailed database with all information on the prospects,,Note: Only 2018-2022 graduates will be considered for this role."," Bachelor's degree or higher in mechanical engineering or a related field, Minimum of 1 year of relevant work experience in mechanical engineering, Expert-level knowledge in mechanical engineering, including design, materials, and manufacturing processes, Ability to work at night and provide live solutions on client portals or online platforms, Proficiency with computer-aided design (cad) software and other relevant engineering software, Strong analytical and problem-solving skills, Excellent written and verbal communication skills, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection  Should have proper knowledge of working with WordPress  Bachelor's degree or higher in electrical engineering or a related field, Expert-level knowledge in electrical engineering, including power systems, control systems, and digital signal processing, Excellent written and verbal communication skills, with the ability to communicate complex technical concepts in a clear and concise manner, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection,,Note: If you are a highly skilled electrical engineering doubt-solving subject matter expert who is comfortable working at night and providing live solutions on client portals, we encourage you to apply for this exciting opportunity.  Preferably, the year of passing should be  2020, 2021, or 2022  Ability to learn new technology, Good communication skills  Should have done live projects on Python, Should be good at data structure and algorithms creation, Good understanding of mathematical concepts to be used while coding","Inside Sales Specialist, English Proficiency (Spoken)  English Proficiency (Written)  Sales "
Dendrite.ai,React/NodeJS Web/UI Development,"We are a fintech catered toward investment bankers, quant finance researchers, data scientists, finance/business/accounting students, finance/business/accounting professors, and also retail investors. The AI-augmented workflow terminal provides a modern well thought-through integration of ML research workbench, banker intelligence platform, and news among other services to finally make work-life easy by providing the best in class products.",Work From Home,CSS  Docker  Git  HTML  JavaScript  Node.js  ReactJS  SQL  TypeScript ," Identifying new sales opportunities and handling both inbound and outbound calls to follow up, Making cold calls and emails to explore sales opportunities, Achieving monthly milestones and closing sales, Regularly studying accounts and identifying important players, Collaborating with teammates and working toward closing deals, Maintaining a detailed database with all information on the prospects,,Note: Only 2018-2022 graduates will be considered for this role."," Bachelor's degree or higher in mechanical engineering or a related field, Minimum of 1 year of relevant work experience in mechanical engineering, Expert-level knowledge in mechanical engineering, including design, materials, and manufacturing processes, Ability to work at night and provide live solutions on client portals or online platforms, Proficiency with computer-aided design (cad) software and other relevant engineering software, Strong analytical and problem-solving skills, Excellent written and verbal communication skills, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection  Should have proper knowledge of working with WordPress  Bachelor's degree or higher in electrical engineering or a related field, Expert-level knowledge in electrical engineering, including power systems, control systems, and digital signal processing, Excellent written and verbal communication skills, with the ability to communicate complex technical concepts in a clear and concise manner, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection,,Note: If you are a highly skilled electrical engineering doubt-solving subject matter expert who is comfortable working at night and providing live solutions on client portals, we encourage you to apply for this exciting opportunity.  Preferably, the year of passing should be  2020, 2021, or 2022  Ability to learn new technology, Good communication skills  Should have done live projects on Python, Should be good at data structure and algorithms creation, Good understanding of mathematical concepts to be used while coding","React NodeJS Web UI Development, CSS  Docker  Git  HTML  JavaScript  Node.js  ReactJS  SQL  TypeScript "
Resshu Connect Private Limited,React Native Intern,"Resshu Connect Private Limited (Apna Konnect) is a Private incorporated on 30 December 2020. It is classified as a non-govt company and is registered at Registrar of Companies, Kanpur.

We are developing India's first hyper locality social media platform ""Apna Konnect"".",Work From Home,JavaScript  React Native ," Identifying new sales opportunities and handling both inbound and outbound calls to follow up, Making cold calls and emails to explore sales opportunities, Achieving monthly milestones and closing sales, Regularly studying accounts and identifying important players, Collaborating with teammates and working toward closing deals, Maintaining a detailed database with all information on the prospects,,Note: Only 2018-2022 graduates will be considered for this role."," Bachelor's degree or higher in mechanical engineering or a related field, Minimum of 1 year of relevant work experience in mechanical engineering, Expert-level knowledge in mechanical engineering, including design, materials, and manufacturing processes, Ability to work at night and provide live solutions on client portals or online platforms, Proficiency with computer-aided design (cad) software and other relevant engineering software, Strong analytical and problem-solving skills, Excellent written and verbal communication skills, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection  Should have proper knowledge of working with WordPress  Bachelor's degree or higher in electrical engineering or a related field, Expert-level knowledge in electrical engineering, including power systems, control systems, and digital signal processing, Excellent written and verbal communication skills, with the ability to communicate complex technical concepts in a clear and concise manner, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection,,Note: If you are a highly skilled electrical engineering doubt-solving subject matter expert who is comfortable working at night and providing live solutions on client portals, we encourage you to apply for this exciting opportunity.  Preferably, the year of passing should be  2020, 2021, or 2022  Ability to learn new technology, Good communication skills  Should have done live projects on Python, Should be good at data structure and algorithms creation, Good understanding of mathematical concepts to be used while coding","React Native Intern, JavaScript  React Native "
Paisabazaar,Frontend Development,"Paisabazaar is India's largest consumer credit marketplace with a 51.4% market share, based on disbursals in Fiscal 2020. With 54 partnerships with large banks, large NBFCs, and fintech lenders, Paisabazaar aims to offer a wide choice of lending products for consumers on its platform.

While being the market leader, Paisabazaar has also defined the vision for the lending industry by its Industry-first innovations like CoA and Free Credit Score, and many more.. aiming to solve core consumer problems via a solid understanding of customer behavior, backed by cutting edge Tech, Product and Analytics capabilities.

Paisabazaar has been recognized at several industry platforms with awards like    Digital Lending Award' at the Fintech India Innovation Awards, Excellence in Consumer Lending' at IAMAI's India Digital Awards, Outstanding Crisis Finance Innovation 2021 (Asia Pacific) Award Most Innovative Lending Startup' by India Fintech Forum and Economic Times' Most Promising Brand'.",Gurgaon,CSS  HTML  ReactJS ," Identifying new sales opportunities and handling both inbound and outbound calls to follow up, Making cold calls and emails to explore sales opportunities, Achieving monthly milestones and closing sales, Regularly studying accounts and identifying important players, Collaborating with teammates and working toward closing deals, Maintaining a detailed database with all information on the prospects,,Note: Only 2018-2022 graduates will be considered for this role."," Bachelor's degree or higher in mechanical engineering or a related field, Minimum of 1 year of relevant work experience in mechanical engineering, Expert-level knowledge in mechanical engineering, including design, materials, and manufacturing processes, Ability to work at night and provide live solutions on client portals or online platforms, Proficiency with computer-aided design (cad) software and other relevant engineering software, Strong analytical and problem-solving skills, Excellent written and verbal communication skills, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection  Should have proper knowledge of working with WordPress  Bachelor's degree or higher in electrical engineering or a related field, Expert-level knowledge in electrical engineering, including power systems, control systems, and digital signal processing, Excellent written and verbal communication skills, with the ability to communicate complex technical concepts in a clear and concise manner, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection,,Note: If you are a highly skilled electrical engineering doubt-solving subject matter expert who is comfortable working at night and providing live solutions on client portals, we encourage you to apply for this exciting opportunity.  Preferably, the year of passing should be  2020, 2021, or 2022  Ability to learn new technology, Good communication skills  Should have done live projects on Python, Should be good at data structure and algorithms creation, Good understanding of mathematical concepts to be used while coding","Frontend Development, CSS  HTML  ReactJS "
IIT Bombay,Machine Learning,"The Indian Institute of Technology, Bombay (IITB) is one of the fifteen higher institutes of technology in the country set up with the objective of making facilities available for higher education, research, and training in various fields of science and technology. With the same mission and vision, Prof. Ganesh Ramakrishnan is gearing to take rural India a leap ahead. For his outstanding contributions, he has also been awarded the IBM Faculty Award 2011.",Work From Home,Computer Vision  Deep Learning  Machine Learning  Mathematics  Natural Language Processing (NLP)  REST API ," Identifying new sales opportunities and handling both inbound and outbound calls to follow up, Making cold calls and emails to explore sales opportunities, Achieving monthly milestones and closing sales, Regularly studying accounts and identifying important players, Collaborating with teammates and working toward closing deals, Maintaining a detailed database with all information on the prospects,,Note: Only 2018-2022 graduates will be considered for this role."," Bachelor's degree or higher in mechanical engineering or a related field, Minimum of 1 year of relevant work experience in mechanical engineering, Expert-level knowledge in mechanical engineering, including design, materials, and manufacturing processes, Ability to work at night and provide live solutions on client portals or online platforms, Proficiency with computer-aided design (cad) software and other relevant engineering software, Strong analytical and problem-solving skills, Excellent written and verbal communication skills, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection  Should have proper knowledge of working with WordPress  Bachelor's degree or higher in electrical engineering or a related field, Expert-level knowledge in electrical engineering, including power systems, control systems, and digital signal processing, Excellent written and verbal communication skills, with the ability to communicate complex technical concepts in a clear and concise manner, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection,,Note: If you are a highly skilled electrical engineering doubt-solving subject matter expert who is comfortable working at night and providing live solutions on client portals, we encourage you to apply for this exciting opportunity.  Preferably, the year of passing should be  2020, 2021, or 2022  Ability to learn new technology, Good communication skills  Should have done live projects on Python, Should be good at data structure and algorithms creation, Good understanding of mathematical concepts to be used while coding","Machine Learning, Computer Vision  Deep Learning  Machine Learning  Mathematics  Natural Language Processing (NLP)  REST API "
IIT Bombay,C++ Development (QT Creator),"The Indian Institute of Technology, Bombay (IITB) is one of the fifteen higher institutes of technology in the country, set up intending to make facilities available for higher education, research, and training in various fields of science and technology. Professor Ganesh Ramakrishnan (department of CSE) and professor Ramasubramanian (department of humanities and social sciences) are attempting to significantly speed up the process of digitization of Sanskrit texts. Enabled by the OCR and post-editing related technologies developed at IIT Bombay, they are now seeking the participation of the community of Sanskrit lovers, software developers, machine learning enthusiasts, project managers, etc.",Work From Home,C++ Programming  C Programming  Data Structures ," Identifying new sales opportunities and handling both inbound and outbound calls to follow up, Making cold calls and emails to explore sales opportunities, Achieving monthly milestones and closing sales, Regularly studying accounts and identifying important players, Collaborating with teammates and working toward closing deals, Maintaining a detailed database with all information on the prospects,,Note: Only 2018-2022 graduates will be considered for this role."," Bachelor's degree or higher in mechanical engineering or a related field, Minimum of 1 year of relevant work experience in mechanical engineering, Expert-level knowledge in mechanical engineering, including design, materials, and manufacturing processes, Ability to work at night and provide live solutions on client portals or online platforms, Proficiency with computer-aided design (cad) software and other relevant engineering software, Strong analytical and problem-solving skills, Excellent written and verbal communication skills, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection  Should have proper knowledge of working with WordPress  Bachelor's degree or higher in electrical engineering or a related field, Expert-level knowledge in electrical engineering, including power systems, control systems, and digital signal processing, Excellent written and verbal communication skills, with the ability to communicate complex technical concepts in a clear and concise manner, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection,,Note: If you are a highly skilled electrical engineering doubt-solving subject matter expert who is comfortable working at night and providing live solutions on client portals, we encourage you to apply for this exciting opportunity.  Preferably, the year of passing should be  2020, 2021, or 2022  Ability to learn new technology, Good communication skills  Should have done live projects on Python, Should be good at data structure and algorithms creation, Good understanding of mathematical concepts to be used while coding","C++ Development (QT Creator), C++ Programming  C Programming  Data Structures "
Actolap Solutions India Private Limited,Product Management,"Actolap Solutions India Private Limited builds a highly scalable computer, enterprise applications for multiple platforms like web, iOS, Android, etc. and provides a wide range of specialized and custom services.",Noida,English Proficiency (Spoken)  English Proficiency (Written)  MS-Excel  MS-Office  MS-PowerPoint  MS-Word  Product Lifecycle Management(PLM)  Product Management ," Identifying new sales opportunities and handling both inbound and outbound calls to follow up, Making cold calls and emails to explore sales opportunities, Achieving monthly milestones and closing sales, Regularly studying accounts and identifying important players, Collaborating with teammates and working toward closing deals, Maintaining a detailed database with all information on the prospects,,Note: Only 2018-2022 graduates will be considered for this role."," Bachelor's degree or higher in mechanical engineering or a related field, Minimum of 1 year of relevant work experience in mechanical engineering, Expert-level knowledge in mechanical engineering, including design, materials, and manufacturing processes, Ability to work at night and provide live solutions on client portals or online platforms, Proficiency with computer-aided design (cad) software and other relevant engineering software, Strong analytical and problem-solving skills, Excellent written and verbal communication skills, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection  Should have proper knowledge of working with WordPress  Bachelor's degree or higher in electrical engineering or a related field, Expert-level knowledge in electrical engineering, including power systems, control systems, and digital signal processing, Excellent written and verbal communication skills, with the ability to communicate complex technical concepts in a clear and concise manner, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection,,Note: If you are a highly skilled electrical engineering doubt-solving subject matter expert who is comfortable working at night and providing live solutions on client portals, we encourage you to apply for this exciting opportunity.  Preferably, the year of passing should be  2020, 2021, or 2022  Ability to learn new technology, Good communication skills  Should have done live projects on Python, Should be good at data structure and algorithms creation, Good understanding of mathematical concepts to be used while coding","Product Management, English Proficiency (Spoken)  English Proficiency (Written)  MS-Excel  MS-Office  MS-PowerPoint  MS-Word  Product Lifecycle Management(PLM)  Product Management "
Royal Enfield,Embedded Systems,"The oldest motorcycle company in continuous production, Royal Enfield made its first motorcycle in 1901. A division of Eicher Motors Limited, it has been a pioneer of powerful four-stroke technology since 1955 in India. With its manufacturing base in Chennai, India, the company offers a variety of models catering to the needs of motorcycling enthusiasts. Royal Enfield's product line includes the bullet, classic, and thunderbird models in both 350 and 500cc displacements. Royal Enfield also organizes and supports many enthusiastic activities, events, and rides across the country. We are looking for suitable profiles at our channel partners under one of our aspirational projects.",Chennai,Arduino  C Programming  Embedded Systems  MATLAB  Python ," Identifying new sales opportunities and handling both inbound and outbound calls to follow up, Making cold calls and emails to explore sales opportunities, Achieving monthly milestones and closing sales, Regularly studying accounts and identifying important players, Collaborating with teammates and working toward closing deals, Maintaining a detailed database with all information on the prospects,,Note: Only 2018-2022 graduates will be considered for this role."," Bachelor's degree or higher in mechanical engineering or a related field, Minimum of 1 year of relevant work experience in mechanical engineering, Expert-level knowledge in mechanical engineering, including design, materials, and manufacturing processes, Ability to work at night and provide live solutions on client portals or online platforms, Proficiency with computer-aided design (cad) software and other relevant engineering software, Strong analytical and problem-solving skills, Excellent written and verbal communication skills, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection  Should have proper knowledge of working with WordPress  Bachelor's degree or higher in electrical engineering or a related field, Expert-level knowledge in electrical engineering, including power systems, control systems, and digital signal processing, Excellent written and verbal communication skills, with the ability to communicate complex technical concepts in a clear and concise manner, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection,,Note: If you are a highly skilled electrical engineering doubt-solving subject matter expert who is comfortable working at night and providing live solutions on client portals, we encourage you to apply for this exciting opportunity.  Preferably, the year of passing should be  2020, 2021, or 2022  Ability to learn new technology, Good communication skills  Should have done live projects on Python, Should be good at data structure and algorithms creation, Good understanding of mathematical concepts to be used while coding","Embedded Systems, Arduino  C Programming  Embedded Systems  MATLAB  Python "
Viacom India LLP,Web Development,"Viacom India is a video production agency, a new breed of digital & creative service provider in Gurgaon & Delhi-NCR. Viacom India is focused on delivering services including creative, innovative, and unique 360-degree corporate videos/corporate films, digital video content, advertising, infomercials, social media advertising, interactive media services, brand promotions, on-air (radio) advertising, digital marketing, consulting, research, and analytics.",Gurgaon,Amazon Web Server (AWS)  Bootstrap  CSS  Django  Express.js  HTML  JavaScript  jQuery  MySQL  Node.js  PHP  ReactJS  WordPress ," Identifying new sales opportunities and handling both inbound and outbound calls to follow up, Making cold calls and emails to explore sales opportunities, Achieving monthly milestones and closing sales, Regularly studying accounts and identifying important players, Collaborating with teammates and working toward closing deals, Maintaining a detailed database with all information on the prospects,,Note: Only 2018-2022 graduates will be considered for this role."," Bachelor's degree or higher in mechanical engineering or a related field, Minimum of 1 year of relevant work experience in mechanical engineering, Expert-level knowledge in mechanical engineering, including design, materials, and manufacturing processes, Ability to work at night and provide live solutions on client portals or online platforms, Proficiency with computer-aided design (cad) software and other relevant engineering software, Strong analytical and problem-solving skills, Excellent written and verbal communication skills, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection  Should have proper knowledge of working with WordPress  Bachelor's degree or higher in electrical engineering or a related field, Expert-level knowledge in electrical engineering, including power systems, control systems, and digital signal processing, Excellent written and verbal communication skills, with the ability to communicate complex technical concepts in a clear and concise manner, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection,,Note: If you are a highly skilled electrical engineering doubt-solving subject matter expert who is comfortable working at night and providing live solutions on client portals, we encourage you to apply for this exciting opportunity.  Preferably, the year of passing should be  2020, 2021, or 2022  Ability to learn new technology, Good communication skills  Should have done live projects on Python, Should be good at data structure and algorithms creation, Good understanding of mathematical concepts to be used while coding","Web Development, Amazon Web Server (AWS)  Bootstrap  CSS  Django  Express.js  HTML  JavaScript  jQuery  MySQL  Node.js  PHP  ReactJS  WordPress "
IIT Bombay,Web Development (Django),"The Indian Institute of Technology, Bombay (IITB) is one of the fifteen higher institutes of technology in the country, set up intending to make facilities available for higher education, research, and training in various fields of science and technology. Professor Ganesh Ramakrishnan (department of CSE) and professor Ramasubramanian (department of humanities and social sciences) are attempting to significantly speed up the process of digitization of Sanskrit texts. Enabled by the OCR and post-editing related technologies developed at IIT Bombay, they are now seeking the participation of the community of Sanskrit lovers, software developers, machine learning enthusiasts, project managers, etc.",Work From Home,Bootstrap  Cloud Computing  CSS  Django  HTML  JavaScript  Nginx  PostgreSQL  Postman  Python ," Identifying new sales opportunities and handling both inbound and outbound calls to follow up, Making cold calls and emails to explore sales opportunities, Achieving monthly milestones and closing sales, Regularly studying accounts and identifying important players, Collaborating with teammates and working toward closing deals, Maintaining a detailed database with all information on the prospects,,Note: Only 2018-2022 graduates will be considered for this role."," Bachelor's degree or higher in mechanical engineering or a related field, Minimum of 1 year of relevant work experience in mechanical engineering, Expert-level knowledge in mechanical engineering, including design, materials, and manufacturing processes, Ability to work at night and provide live solutions on client portals or online platforms, Proficiency with computer-aided design (cad) software and other relevant engineering software, Strong analytical and problem-solving skills, Excellent written and verbal communication skills, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection  Should have proper knowledge of working with WordPress  Bachelor's degree or higher in electrical engineering or a related field, Expert-level knowledge in electrical engineering, including power systems, control systems, and digital signal processing, Excellent written and verbal communication skills, with the ability to communicate complex technical concepts in a clear and concise manner, Ability to work independently and with limited supervision, Must have a personal laptop and a reliable internet connection,,Note: If you are a highly skilled electrical engineering doubt-solving subject matter expert who is comfortable working at night and providing live solutions on client portals, we encourage you to apply for this exciting opportunity.  Preferably, the year of passing should be  2020, 2021, or 2022  Ability to learn new technology, Good communication skills  Should have done live projects on Python, Should be good at data structure and algorithms creation, Good understanding of mathematical concepts to be used while coding","Web Development (Django), Bootstrap  Cloud Computing  CSS  Django  HTML  JavaScript  Nginx  PostgreSQL  Postman  Python "
